Country,University,Year,Donations,Public Grants,Tuition Fees,Total Income,"Total Income, €",Ac.Staff,Student,NIS,CSRC,CSRF,Rept,Tng,NSR,CSR,Edu,NST,CST,SCST,Reputation,Teaching,NSR,CSR,Edu,NST,CST,SCST,
NO,Norwegian University of Life Sciences (NMBU),2023,"kr 144,429,000","kr 1,569,649,000","kr 13,678,000","kr 2,639,217,000","€ 227,153,264",976 ,7687 ,6.20 ,,,129 ,109 ,31 ,0 ,117 ,101 ,98 ,100 ,,,,,,,,,
FI,Åbo Akademi University,2022,"€ 6,866,583","€ 80,722,168",,"€ 135,345,844","€ 135,345,844",604 ,4950 ,4.04 ,,,129 ,107 ,32 ,0 ,116 ,101 ,98 ,99 ,,,,,,,,,
NL,VU Amsterdam,2022,,"€ 473,310,000","€ 60,361,000","€ 690,144,000","€ 690,144,000",2797 ,31761 ,63.65 ,1.8 ,23 ,111 ,100 ,78 ,68 ,104 ,100 ,99 ,99 ,,,,,,,,,
CH,University of Fribourg (UNIFR),2022,,"110,565,000 CHF",,"236,734,000 CHF","€ 242,186,837",550 ,10363 ,32.84 ,,,122 ,94 ,123 ,0 ,105 ,106 ,90 ,98 ,,,,,,,,,
CH,University of Neuchâtel (UniNE),2022,,"96,570,451 CHF",,"141,671,439 CHF","€ 144,934,642",529 ,4409 ,2.88 ,,,122 ,109 ,25 ,0 ,115 ,99 ,97 ,98 ,,,,,,,,,
NL,Leiden University,2022,,"€ 498,700,000","€ 66,000,000","€ 812,600,000","€ 812,600,000",1903 ,33474 ,102.46 ,1.3 ,14 ,111 ,95 ,119 ,28 ,101 ,104 ,92 ,98 ,,,,,,,,,
BE,University of Liège (ULg),2023,"€ 5,160,000","€ 103,200,000",,"€ 516,000,000","€ 516,000,000",3568 ,27678 ,28.06 ,,,126 ,103 ,40 ,0 ,112 ,99 ,95 ,97 ,,,,,,,,,
BE,Hasselt University (UHasselt),2022,"€ 787,395","€ 78,111,453","€ 4,919,090","€ 138,761,858","€ 138,761,858",1314 ,6753 ,5.15 ,,,117 ,109 ,30 ,0 ,113 ,98 ,96 ,97 ,,,,,,,,,
FR,CentraleSupélec,2022,,"€ 12,486,843",,"€ 117,651,589","€ 117,651,589",501 ,4384 ,3.87 ,,,122 ,106 ,34 ,0 ,113 ,99 ,95 ,97 ,,,,,,,,,
NL,Maastricht University (UM),2022,,"€ 350,370,000","€ 41,223,000","€ 558,679,000","€ 558,679,000",2430 ,22406 ,33.03 ,1.1 ,7 ,112 ,104 ,57 ,18 ,108 ,99 ,94 ,97 ,,,,,,,,,
